,iter,sigma,best_fit,mean_fit
0,1.0,1.0,131935.513857206,99196.56166060497
1,2.0,7.38905609893065,383081.67538529175,93470.7168656053
2,3.0,5.91669359066433,87199.46995282505,92561.40523553462
3,4.0,5.015512514662173,305622.8486560864,90293.09335963184
4,5.0,4.016108465287338,84514.28572515032,88562.34314897846
5,6.0,7.559401518150833,74016.3429095781,85191.59598191037
6,7.0,10.70135501504708,65532.38715750004,79187.09510013917
7,8.0,16.037484683986648,56194.1340736814,70441.08541632855
8,9.0,18.07603259174176,37955.13458795356,62517.897609307234
9,10.0,27.089475625253485,27660.67141269232,47418.42976517992
10,11.0,34.2184007416999,22038.41276715209,36234.66072574469
11,12.0,57.471090719825405,18956.59577032315,26607.167951876174
12,13.0,68.57446450653747,53565.43538251882,10863.66732412886
13,14.0,54.910138615375644,9419.161896819232,7113.011800884335
14,15.0,46.54668746777688,3854.4732514842917,3939.0406482757267
15,16.0,46.812667817327636,5674.384452222781,1063.144398469983
16,17.0,37.484654051654175,4005.085383893749,1428.2713927332875
17,18.0,30.01536453455657,709.9633444111039,1479.1119178326226
18,19.0,25.443676294603016,1002.7738915991275,672.3129039206453
19,20.0,21.568309211744424,740.2337277023167,427.6463643035762
20,21.0,17.270551903518896,355.1562815275499,282.2302170812823
21,22.0,14.640046485404664,188.83646170024824,144.87732772455647
22,23.0,12.410197560110355,242.66090609553063,117.40508278543062
23,24.0,9.937309363967273,159.54245745366018,70.95724767381624
24,25.0,7.957175292084032,124.85524094305096,34.25782948445413
25,26.0,6.371607877937161,61.843712583792964,27.639797602152946
26,27.0,5.101984744583677,20.393769956667043,12.056806708758558
27,28.0,4.324893277632409,26.03987542679067,10.227578870713502
28,29.0,3.463103811023737,17.816617503772747,6.1902887146363925
29,30.0,2.7730367516704475,6.823717590786107,4.5082490027946545
30,31.0,2.220474246725456,4.483600075440758,1.4464323574547253
31,32.0,1.8822702582585715,3.6411264334146676,1.5213186428416767
32,33.0,1.5072041981855182,1.4342874576251934,1.1617522363749517
33,34.0,1.2776395130683211,1.9437198078755697,0.7595357004789023
34,35.0,1.0230537455582227,0.5224833234101613,0.44822674327595297
35,36.0,0.8672307912168133,0.3998418780858989,0.21812377175415396
36,37.0,0.7351414805916844,0.306073315637663,0.19284941767126462
37,38.0,0.5886552799454025,0.12918746734340938,0.17332257562345252
38,39.0,0.4989962515629666,0.2339192136503604,0.1259349039064909
39,40.0,0.3995649625417521,0.11063813006344628,0.0805428232371201
40,41.0,0.33870658321917035,0.05193793475934944,0.04921508518953305
41,42.0,0.2871176411120307,0.03827440521968189,0.02702921678693846
42,43.0,0.25765717515837505,0.03395654145962323,0.016049883654792523
43,44.0,0.20631573727919836,0.012200135129199862,0.007875329238903828
44,45.0,0.18514616465984984,0.014422693338181938,0.008559858663012185
45,46.0,0.1482534590497359,0.008922458656730347,0.002023254416475213
46,47.0,0.11871208977291887,0.005807274614918109,0.0022916545348099834
47,48.0,0.09505721045959403,0.0015813837689628196,0.001452450869095579
48,49.0,0.08057889450642294,0.000822598392784878,0.0009088925685587778
49,50.0,0.06830579404218051,0.001437672391202507,0.0005534101325032752
50,51.0,0.05469500412550601,0.0008995697787983714,0.0003780332525788282
51,52.0,0.04379633555598178,0.0007996839320316869,0.00016496823538207536
52,53.0,0.03506936399036991,0.00023950647370939312,0.00010771283145116246
53,54.0,0.02808135144359303,0.00017187123949170986,0.0001162962499395932
54,55.0,0.022485788425336842,9.589627886761576e-05,4.748588423472321e-05
55,56.0,0.019060941980715278,5.834948931172555e-05,4.822728491006753e-05
56,57.0,0.01526280917878591,4.892504816742974e-05,2.7041652772637438e-05
57,58.0,0.012221502183035849,4.0744872455231325e-05,1.7505862102721434e-05
58,59.0,0.009786213917786226,2.483081461435437e-05,1.8573583217901006e-05
59,60.0,0.007836187516916464,1.0597783418674014e-05,8.832778427580844e-06
60,61.0,0.007880965609800896,1.399096519732151e-05,6.225533522384297e-06
61,62.0,0.006310583934868648,4.215178215712822e-06,3.5382456273023796e-06
62,63.0,0.005349408789750423,2.6454487945802797e-06,2.332231374134527e-06
63,64.0,0.004534631770245952,3.6157145268479007e-06,8.053957070092553e-07
64,65.0,0.0036310492668907915,2.5736977141669184e-06,9.277291970636181e-07
65,66.0,0.002907516959833112,8.271359908991421e-07,6.806656430617319e-07
66,67.0,0.0026091834820534685,6.69923799500064e-07,3.3339789037331387e-07
67,68.0,0.002211774567460683,5.405471824484523e-07,3.1609034634890145e-07
68,69.0,0.0017710506229859139,6.181658742774724e-07,2.1408928982685768e-07
69,70.0,0.0014181464762839356,2.6538824014519436e-07,1.1281004408260608e-07
70,71.0,0.0011355629263752212,1.4954224543221647e-07,4.24500075348905e-08
71,72.0,0.0009092877085143051,6.978805448372388e-08,5.18598707878573e-08
72,73.0,0.0007281006782199203,4.971879373269268e-08,1.8153953658705246e-08
73,74.0,0.0006172024979133658,2.2119932619543023e-08,2.3574778986757513e-08
74,75.0,0.0004942171252529152,1.898474240149462e-08,9.281091304215416e-09
75,76.0,0.00046951154772845887,1.3520210965326939e-08,2.528061699124367e-09
76,77.0,0.00037595545736753716,9.300829476903687e-09,3.387206114027979e-09
77,78.0,0.00030104159654488244,5.412573517517505e-09,2.8860121592861396e-09
78,79.0,0.0002410552661872787,4.82672606440556e-09,1.7089710913374483e-09
79,80.0,0.0001930219678062214,2.9154898348542462e-09,8.893858912263167e-10
80,81.0,0.00015455990920704545,1.3616890000915182e-09,4.0122299520181727e-10
81,82.0,0.00012376190029350723,1.3238415201779272e-09,2.1425686996413188e-10
82,83.0,9.910078262107192e-05,5.457700890497656e-10,2.0622942700730502e-10
83,84.0,7.935370330302028e-05,3.894865378658832e-10,9.552456180952895e-11
84,85.0,6.354147829469139e-05,2.397851959796367e-10,6.923019226089137e-11
85,86.0,5.0880038307185915e-05,1.142951695046748e-10,2.6954931967100466e-11
86,87.0,4.074154973440376e-05,6.383527843987118e-11,3.3499507783245406e-11
87,88.0,3.262328272513244e-05,1.618000086891339e-11,8.509181795468003e-12
88,89.0,2.7654378289157333e-05,3.520081906950544e-11,7.34158500009153e-12
89,90.0,2.2143895050538803e-05,3.016041912623298e-11,1.059682170111012e-11
90,91.0,1.77314450132308e-05,1.2099092161371575e-11,7.728391671890825e-12
91,92.0,1.419823122985662e-05,6.860367269338258e-12,3.0950449416259185e-12
92,93.0,1.2035675893673835e-05,3.5767212218141297e-12,1.1123584250119762e-12
93,94.0,9.63741585744882e-06,2.4570523134403513e-12,3.5100532629817027e-13
94,95.0,7.71703934452283e-06,1.5621978030082122e-12,2.741754074688697e-13
95,96.0,6.179322042940038e-06,1.0405972314506206e-12,1.9350335722452542e-13
96,97.0,4.948014284450391e-06,4.82932543079896e-13,1.5714813726131589e-13
97,98.0,3.962060107726074e-06,3.3964566370958735e-13,1.0420562104778282e-13
98,99.0,3.172569720860865e-06,2.2793389984308287e-13,1.3198354363636628e-13
99,100.0,2.540395238854632e-06,1.2315893914804485e-13,6.083510511830912e-14
100,101.0,2.153463571743453e-06,1.0937862771635463e-13,5.815447549990698e-14
101,102.0,1.7243588277138059e-06,6.181419437748945e-14,3.3711799115008164e-14
102,103.0,1.3807586094002246e-06,3.262360844120547e-14,1.5928232180737176e-14
103,104.0,1.1704530544054753e-06,3.573714793959886e-14,1.124382629450433e-14
104,105.0,9.372255390206857e-07,1.2940227232605751e-14,1.0379288140433632e-14
105,106.0,7.504715440627294e-07,7.351750866057761e-15,5.654673761689803e-15
106,107.0,6.73467423774556e-07,6.703806136275861e-15,2.490047928653377e-15
107,108.0,5.392705558623114e-07,3.905523983440829e-15,2.366170160358387e-15
108,109.0,4.318141043706907e-07,2.475119432556574e-15,8.624499874115146e-16
109,110.0,3.457697044766344e-07,2.1863549610041596e-15,5.052795584621352e-16
110,111.0,2.768707351699324e-07,1.052805932502115e-15,5.34243387995581e-16
111,112.0,2.2170075342363904e-07,6.375920799442776e-16,4.547308861246183e-16
112,113.0,1.7752408552114437e-07,4.1206645675590587e-16,2.878657516491471e-16
113,114.0,1.593087565807368e-07,2.010671207085959e-16,9.754345978820577e-17
114,115.0,1.350441847430942e-07,9.391040401617165e-17,5.46715718544722e-17
115,116.0,1.1447538870020982e-07,6.90708017444206e-17,5.390337618427608e-17
116,117.0,9.166472544569812e-08,9.919452207636745e-17,3.557669627177404e-17
117,118.0,7.339937419247057e-08,4.244183881585256e-17,9.996249984232508e-18
118,119.0,5.877362426659787e-08,2.778076546246555e-17,8.134049689736031e-18
119,120.0,4.7062239255243864e-08,1.3606856667674874e-17,2.3729093191195384e-18
120,121.0,3.768449523669343e-08,6.947279965853438e-18,3.6460869543794824e-18
121,122.0,3.017538484606072e-08,3.722822476734695e-18,3.843362960957365e-18
122,123.0,2.4162559293649866e-08,3.645340186431414e-18,2.331080091766286e-18
123,124.0,2.0482321192833758e-08,3.59499350689731e-18,1.3531864229944247e-18
124,125.0,1.64009606776576e-08,1.4172856923988136e-18,4.706236929998587e-19
125,126.0,1.313286265836824e-08,7.423618861316875e-19,4.824965894262119e-19
126,127.0,1.0515974337924912e-08,4.386759966048195e-19,1.802540552415632e-19
127,128.0,8.91426944585221e-09,3.4788202629831004e-19,9.934295319687306e-20
128,129.0,7.137988964972353e-09,2.3535908727143504e-19,3.722636046128945e-20
129,130.0,5.715654745860796e-09,1.0158087268619459e-19,1.483646260898385e-20
130,131.0,4.576738537169703e-09,1.0068554419993679e-19,1.5633820477671328e-20
131,132.0,3.664765730082539e-09,3.877580805879037e-20,1.6877414149356466e-20
132,133.0,2.9345149930048123e-09,2.9850292628669555e-20,1.733997192174668e-20
133,134.0,2.3497759143191086e-09,2.2384204313652412e-20,8.159910553697188e-21
134,135.0,1.8815534630683513e-09,1.0407285264056826e-20,6.45038678730937e-21
135,136.0,1.506630233466478e-09,5.07441124496694e-21,2.9600936177444457e-21
