dim,cpu_time,func
10,0.02600000000001046,linear
20,0.02600000000001046,linear
30,0.030000000000001137,linear
40,0.03300000000001546,linear
50,0.03699999999997772,linear
60,0.03999999999999204,linear
70,0.043000000000006366,linear
80,0.04599999999999227,linear
90,0.04800000000000182,linear
100,0.05099999999998772,linear
110,0.054000000000002046,linear
120,0.0589999999999975,linear
130,0.060000000000002274,linear
140,0.06299999999998818,linear
150,0.0660000000000025,linear
160,0.07099999999999795,linear
170,0.0730000000000075,linear
180,0.0759999999999934,linear
190,0.07800000000000296,linear
200,0.08100000000001728,linear
210,0.08500000000000796,linear
220,0.08899999999999864,linear
230,0.09000000000000341,linear
240,0.09600000000000364,linear
250,0.09699999999997999,linear
260,0.10099999999999909,linear
270,0.10400000000001342,linear
280,0.10499999999998977,linear
290,0.10799999999997567,linear
300,0.11300000000002797,linear
310,0.1150000000000091,linear
320,0.12299999999999045,linear
330,0.125,linear
340,0.13100000000000023,linear
350,0.13400000000001455,linear
360,0.13700000000000045,linear
370,0.13700000000000045,linear
380,0.146000000000015,linear
390,0.14700000000001978,linear
400,0.1490000000000009,linear
410,0.14999999999997726,linear
420,0.15500000000000114,linear
430,0.1570000000000107,linear
440,0.1599999999999966,linear
450,0.16300000000001091,linear
460,0.16900000000001114,linear
470,0.16900000000001114,linear
480,0.1740000000000066,linear
490,0.17300000000000182,linear
500,0.18199999999998795,linear
510,0.17900000000000205,linear
520,0.18600000000000705,linear
530,0.18700000000001182,linear
540,0.19299999999998363,linear
550,0.19599999999999795,linear
560,0.19700000000000273,linear
570,0.1980000000000075,linear
580,0.20300000000000296,linear
590,0.20499999999998408,linear
600,0.20899999999997476,linear
610,0.21299999999999386,linear
620,0.2150000000000034,linear
630,0.21999999999999886,linear
640,0.2190000000000225,linear
650,0.22499999999999432,linear
660,0.22700000000000387,linear
670,0.228999999999985,linear
680,0.23099999999999454,linear
690,0.23600000000001842,linear
700,0.30000000000001137,linear
710,0.24600000000000932,linear
720,0.24600000000000932,linear
730,0.2470000000000141,linear
740,0.24899999999999523,linear
750,0.2529999999999859,linear
760,0.2569999999999766,linear
770,0.2599999999999909,linear
780,0.26400000000001,linear
790,0.2680000000000007,linear
800,0.26900000000000546,linear
810,0.27000000000001023,linear
820,0.2750000000000057,linear
830,0.28000000000000114,linear
840,0.2810000000000059,linear
850,0.2849999999999966,linear
860,0.28600000000000136,linear
870,0.28999999999999204,linear
880,0.2909999999999968,linear
890,0.2939999999999827,linear
900,0.2990000000000066,linear
910,0.3020000000000209,linear
920,0.30400000000000205,linear
930,0.3100000000000023,linear
940,0.31399999999999295,linear
950,0.3129999999999882,linear
960,0.3140000000000214,linear
970,0.32200000000000273,linear
980,0.3210000000000264,linear
990,0.3280000000000314,linear
1000,0.3269999999999982,linear
10,0.03099999999997749,sphere
20,0.03499999999999659,sphere
30,0.03900000000001569,sphere
40,0.043000000000006366,sphere
50,0.04599999999999227,sphere
60,0.0479999999999734,sphere
70,0.05299999999999727,sphere
80,0.056000000000011596,sphere
90,0.057999999999992724,sphere
100,0.06100000000000705,sphere
110,0.06399999999999295,sphere
120,0.06800000000001205,sphere
130,0.0730000000000075,sphere
140,0.0759999999999934,sphere
150,0.07900000000000773,sphere
160,0.07999999999998408,sphere
170,0.08500000000000796,sphere
180,0.09000000000000341,sphere
190,0.09099999999997976,sphere
200,0.09600000000000364,sphere
210,0.09799999999998477,sphere
220,0.10000000000002274,sphere
230,0.10499999999998977,sphere
240,0.10899999999998045,sphere
250,0.11000000000001364,sphere
260,0.1139999999999759,sphere
270,0.117999999999995,sphere
280,0.11899999999999977,sphere
290,0.12299999999999045,sphere
300,0.13299999999998136,sphere
310,0.132000000000005,sphere
320,0.14300000000000068,sphere
330,0.13999999999998636,sphere
340,0.1449999999999818,sphere
350,0.14300000000000068,sphere
360,0.14799999999999613,sphere
370,0.15000000000000568,sphere
380,0.16800000000000637,sphere
390,0.1640000000000157,sphere
400,0.16800000000000637,sphere
410,0.17199999999999704,sphere
420,0.1710000000000207,sphere
430,0.17500000000001137,sphere
440,0.1799999999999784,sphere
450,0.18200000000001637,sphere
460,0.1839999999999975,sphere
470,0.1869999999999834,sphere
480,0.19400000000001683,sphere
490,0.1950000000000216,sphere
500,0.19599999999999795,sphere
510,0.2009999999999934,sphere
520,0.20300000000000296,sphere
530,0.20599999999998886,sphere
540,0.21400000000002706,sphere
550,0.2150000000000034,sphere
560,0.21599999999997976,sphere
570,0.2189999999999941,sphere
580,0.22800000000000864,sphere
590,0.2259999999999991,sphere
600,0.2300000000000182,sphere
610,0.2330000000000041,sphere
620,0.23699999999999477,sphere
630,0.23900000000000432,sphere
640,0.24099999999998545,sphere
650,0.24499999999997613,sphere
660,0.24800000000001887,sphere
670,0.25200000000000955,sphere
680,0.2529999999999859,sphere
690,0.2580000000000098,sphere
700,0.2599999999999909,sphere
710,0.26200000000000045,sphere
720,0.26599999999999113,sphere
730,0.27199999999999136,sphere
740,0.2720000000000198,sphere
750,0.27700000000001523,sphere
760,0.28000000000000114,sphere
770,0.28299999999998704,sphere
780,0.2849999999999966,sphere
790,0.28700000000000614,sphere
800,0.2909999999999968,sphere
810,0.29599999999999227,sphere
820,0.2980000000000018,sphere
830,0.3009999999999877,sphere
840,0.3049999999999784,sphere
850,0.30700000000001637,sphere
860,0.32099999999999795,sphere
870,0.32500000000001705,sphere
880,0.3170000000000073,sphere
890,0.32200000000000273,sphere
900,0.32800000000000296,sphere
910,0.3269999999999982,sphere
920,0.33199999999999363,sphere
930,0.3440000000000225,sphere
940,0.3439999999999941,sphere
950,0.34300000000001774,sphere
960,0.3400000000000034,sphere
970,0.3459999999999752,sphere
980,0.3499999999999943,sphere
990,0.34899999999998954,sphere
1000,0.35300000000000864,sphere
10,0.03500000000002501,gutter
20,0.03699999999997772,gutter
30,0.05099999999998772,gutter
40,0.04800000000000182,gutter
50,0.05000000000001137,gutter
60,0.05299999999999727,gutter
70,0.06099999999997863,gutter
80,0.06700000000000728,gutter
90,0.06599999999997408,gutter
100,0.07200000000000273,gutter
110,0.09799999999995634,gutter
120,0.09200000000004138,gutter
130,0.09699999999997999,gutter
140,0.09199999999998454,gutter
150,0.09600000000000364,gutter
160,0.09899999999998954,gutter
170,0.10300000000000864,gutter
180,0.10599999999999454,gutter
190,0.11200000000002319,gutter
200,0.11599999999998545,gutter
210,0.117999999999995,gutter
220,0.12400000000002365,gutter
230,0.125,gutter
240,0.125,gutter
250,0.13400000000001455,gutter
260,0.13800000000003365,gutter
270,0.14100000000001955,gutter
280,0.14100000000001955,gutter
290,0.14699999999999136,gutter
300,0.14800000000002456,gutter
310,0.15800000000001546,gutter
320,0.16200000000003456,gutter
330,0.16700000000003,gutter
340,0.17099999999999227,gutter
350,0.17300000000000182,gutter
360,0.17400000000003502,gutter
370,0.17599999999998772,gutter
380,0.18399999999996908,gutter
390,0.18799999999998818,gutter
400,0.18999999999999773,gutter
410,0.19499999999999318,gutter
420,0.19799999999997908,gutter
430,0.19900000000001228,gutter
440,0.20300000000003138,gutter
450,0.21100000000001273,gutter
460,0.21100000000001273,gutter
470,0.21299999999996544,gutter
480,0.22000000000002728,gutter
490,0.2179999999999609,gutter
500,0.22800000000000864,gutter
510,0.23399999999998045,gutter
520,0.2540000000000191,gutter
530,0.242999999999995,gutter
540,0.2470000000000141,gutter
550,0.24900000000002365,gutter
560,0.25,gutter
570,0.25499999999999545,gutter
580,0.25900000000001455,gutter
590,0.2610000000000241,gutter
600,0.26300000000003365,gutter
610,0.27000000000003865,gutter
620,0.3299999999999841,gutter
630,0.2769999999999868,gutter
640,0.27899999999999636,gutter
650,0.28499999999996817,gutter
660,0.29000000000002046,gutter
670,0.28899999999998727,gutter
680,0.2950000000000159,gutter
690,0.2939999999999827,gutter
700,0.3050000000000068,gutter
710,0.3089999999999691,gutter
720,0.31399999999996453,gutter
730,0.31799999999998363,gutter
740,0.3170000000000073,gutter
750,0.32499999999998863,gutter
760,0.3369999999999891,gutter
770,0.33300000000002683,gutter
780,0.3369999999999891,gutter
790,0.33300000000002683,gutter
800,0.34199999999998454,gutter
810,0.3459999999999468,gutter
820,0.34600000000000364,gutter
830,0.35300000000000864,gutter
840,0.353999999999985,gutter
850,0.35400000000004184,gutter
860,0.35899999999998045,gutter
870,0.36499999999995225,gutter
880,0.37000000000000455,gutter
890,0.37999999999999545,gutter
900,0.38700000000000045,gutter
910,0.3860000000000241,gutter
920,0.38800000000003365,gutter
930,0.38999999999998636,gutter
940,0.45299999999997453,gutter
950,0.3990000000000009,gutter
960,0.4019999999999868,gutter
970,0.40500000000002956,gutter
980,0.41100000000000136,gutter
990,0.4130000000000109,gutter
1000,0.41699999999997317,gutter
